original_audio_path,text_path,audio_path,text,chunk_index
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0000.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0000.wav,Ficou interessado?,0
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0001.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0001.wav,Converse com seu corretor ou acesse a rouba eco-construções do Instagram.,1
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0002.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0002.wav,Ficou interessado?,2
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0003.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0003.wav,Converse com seu corretor ou acesse a rouba eco-construções no Instagram.,3
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0004.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0004.wav,Ficou interessado?,4
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0005.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0005.wav,Converse com seu construtor?,5
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0006.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0006.wav,"Construtor não, né?",6
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0007.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0007.wav,Ficou interessado?,7
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0008.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0008.wav,Converse com seu corretor ou acesse a rouba eco-construções no Instagram.,8
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0009.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0009.wav,"Eu vou gravar toda, tá?",9
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0010.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0010.wav,"Porque aquele dia eu gravei da rua, eu gravei no microfone USB, agora estou no 414.",10
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0011.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0011.wav,Bananeiras ganham um luxuoso resort de campo.,11
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0012.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0012.wav,"Com mais de 20 itens de área de lazer, o eco-natureza chega à cidade com apartamentos de 33 a 70 metros quadrados, com opção de 1 ou 2 quartos na melhor localização.",12
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0013.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0013.wav,"Apenas 500 metros do centro, próximo aos principais restaurantes, um empreendimento com a qualidade da eco-construtora.",13
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0014.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0014.wav,unidades a partir de R$ 280 mil.,14
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0015.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0015.wav,Ficou interessado?,15
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0016.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0016.wav,Converse com seu corretor ou acesse a rouba ecoconstruções no Instagram.,16
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0017.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0017.wav,Bananeiras ganham um luxuoso resort de campo.,17
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0018.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0018.wav,"Com mais de 20 itens de área de lazer, o eco-natureza chega à cidade com apartamentos de 33 a 70 metros quadrados, com opção de um ou dois quartos na melhor localização.",18
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0019.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0019.wav,"Apenas 500 metros do centro, próximo aos principais restaurantes, um empreendimento com a qualidade da eco-construtora.",19
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0020.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0020.wav,unidades a partir de 280 mil.,20
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0021.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0021.wav,Ficou interessado?,21
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0022.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0022.wav,Converse com seu corretor ou acesse a rouba eco-construções no Instagram.,22
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0023.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0023.wav,Bananeiras ganhou um luxuoso resort de campo.,23
data/LouVO_Bananeiras_250526.wav,processed/LouVO_Bananeiras_250526.wav_chunk-0024.txt,processed/LouVO_Bananeiras_250526.wav_chunk-0024.wav,"Com mais de 20 itens de área de lazer, o eco-natureza chega à cidade com apartamentos de 33 a 70 metros quadrados, com a opção de um ou dois quartos na melhor localização.",24
