original_audio_path,text_path,audio_path,text,chunk_index
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0000.wav,Olhe bem para o horizonte.,0
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0001.wav,Sinto vento.,1
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0002.wav,Tudo o que você precisa está dentro de você.,2
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0003.wav,"Agora, respire fundo e responda.",3
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0004.wav,O que você fez além de manifestos assim?,4
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0005.wav,Mostre que você tem estrela.,5
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0006.wav,Inscreva seus trabalhos no Salão Arp 2024.,6
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0007.wav,Olhe para o horizonte.,7
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0008.wav,Sinto vento.,8
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0009.wav,Tudo o que você precisa está dentro de você.,9
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0010.wav,"Agora, respire fundo e responda.",10
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0011.wav,O que você fez além de manifestos assim?,11
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0012.wav,O que você fez além de manifestos assim?,12
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0013.wav,Mostre que você tem estrela.,13
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0014.wav,Inscreva seus trabalhos no Salão Arp 2024.,14
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0015.wav,Mostre que você tem estrela.,15
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0016.wav,Inscreva seus trabalhos no Salão Arp 2024.,16
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0017.wav,Olhe para o horizonte.,17
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0018.wav,Olhe para o horizonte.,18
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0019.wav,Olhe para o horizonte.,19
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0020.wav,Sinto vento.,20
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0021.wav,Sinto vento.,21
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0022.wav,Tudo que você precisa está dentro de você.,22
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0023.wav,Tudo que você precisa está dentro de você.,23
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0024.wav,"Agora, respire fundo e responda.",24
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0025.wav,"Agora, respire fundo e responda.",25
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0026.wav,O que você fez além de manifestos assim?,26
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0027.wav,Mostre que você tem estrela e escreva seus trabalhos no Salão Arp 2024.,27
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0028.wav,Mostre que você tem estrela e escreva seus trabalhos no Salão Arp 2024.,28
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0029.wav,Mostre que você tem estrela e escreva seus trabalhos no Salão Arp 2024.,29
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0030.wav,Olhe para o horizonte.,30
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0031.wav,Sinto vento.,31
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0032.wav,Tudo que você precisa está dentro de você.,32
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0033.wav,"Agora, respire fundo e responda.",33
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0034.wav,O que você fez além de manifestos assim?,34
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0035.wav,Mostre que você tem estrela.,35
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0036.wav,Inscreva seus trabalhos no Salão Arp 2024.,36
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0037.wav,Olhe para o horizonte.,37
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0038.wav,Olhe para o horizonte.,38
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0039.wav,Sinto vento.,39
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0040.wav,tudo que você precisa está dentro de você.,40
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0041.wav,"Agora, respire fundo e responda.",41
data/LouVO_Arp2024_201010.wav,metadata/text,processed/louvo_arp2024_201010_wav_chunk-0042.wav,O que você fez além de manifestos assim?,42
